Index,geohash,latitude,longitude,day,timestamp,hour,minute,time_slot,is_peak,time_period,RoadType,NumberofLanes,LargeVehicles,Landmarks,Temperature,Weather,demand
0,qp02z1,-5.48492431640625,90.6646728515625,48,0:0,0,0,0,0,Night,Residential,1,Not Allowed,No,18.389311567220023,Sunny,0.0488042949024875
1,qp02zt,-5.46295166015625,90.6866455078125,48,0:0,0,0,0,0,Night,Residential,3,Allowed,Yes,31.104564604387004,Sunny,0.1185072915415505
2,qp08bj,-5.46295166015625,90.7086181640625,48,0:0,0,0,0,0,Night,Residential,1,Not Allowed,No,25.91926731826868,Sunny,0.0271317062001134
3,qp08gt,-5.46295166015625,90.8624267578125,48,0:0,0,0,0,0,Night,Residential,1,Not Allowed,No,15.58833578104865,Rainy,0.0032715267668777
4,qp02zq,-5.45745849609375,90.6756591796875,48,0:0,0,0,0,0,Night,Residential,1,Not Allowed,No,10.803667437719188,Rainy,0.0108193962352523
5,qp02zw,-5.45745849609375,90.6866455078125,48,0:0,0,0,0,0,Night,Residential,2,Not Allowed,Yes,8.446025217429987,Rainy,0.0162622793894155
6,qp02zy,-5.45745849609375,90.6976318359375,48,0:0,0,0,0,0,Night,Residential,3,Allowed,Yes,15.772408216444395,Foggy,0.0422474543815316
7,qp08by,-5.45745849609375,90.7415771484375,48,0:0,0,0,0,0,Night,Residential,1,Not Allowed,No,2.705143266285236,Snowy,0.0401354627300932
8,qp08gq,-5.45745849609375,90.8514404296875,48,0:0,0,0,0,0,Night,Residential,1,Not Allowed,No,18.13689866092085,Foggy,0.0010020345130475
9,qp08gy,-5.45745849609375,90.8734130859375,48,0:0,0,0,0,0,Night,Residential,3,Allowed,Yes,12.738208945925855,Rainy,0.0039484383575523
10,qp02zp,-5.45196533203125,90.6646728515625,48,0:0,0,0,0,0,Night,Residential,1,Not Allowed,No,8.240079709262693,Rainy,0.0177802395047849
11,qp02zr,-5.45196533203125,90.6756591796875,48,0:0,0,0,0,0,Night,Residential,2,Not Allowed,Yes,19.2453809525194,Sunny,0.0890601277643069
12,qp02zx,-5.45196533203125,90.6866455078125,48,0:0,0,0,0,0,Night,Residential,3,Allowed,Yes,8.160115459038007,Rainy,0.0500956084079046
13,qp02zz,-5.45196533203125,90.6976318359375,48,0:0,0,0,0,0,Night,Residential,1,Not Allowed,No,11.509704872334956,Rainy,0.1525977123766266
14,qp08br,-5.45196533203125,90.7196044921875,48,0:0,0,0,0,0,Night,Residential,1,Not Allowed,No,16.33667107091718,Foggy,0.0118702526315578
15,qp08bx,-5.45196533203125,90.7305908203125,48,0:0,0,0,0,0,Night,Residential,1,Not Allowed,No,4.696763714255914,Snowy,0.0050907495014671
16,qp08bz,-5.45196533203125,90.7415771484375,48,0:0,0,0,0,0,Night,Residential,1,Not Allowed,No,19.26671713681805,Sunny,0.0014920623887245
17,qp08cp,-5.45196533203125,90.7525634765625,48,0:0,0,0,0,0,Night,Residential,3,Allowed,Yes,24.318534306717417,Sunny,0.0032837687608653
18,qp08fz,-5.45196533203125,90.8294677734375,48,0:0,0,0,0,0,Night,Residential,2,Not Allowed,Yes,-0.2484591287999116,Snowy,0.0012974151672281
19,qp08gp,-5.45196533203125,90.8404541015625,48,0:0,0,0,0,0,Night,Residential,2,Not Allowed,Yes,7.382247826396348,Rainy,0.0032755369177799
20,qp08gr,-5.45196533203125,90.8514404296875,48,0:0,0,0,0,0,Night,Residential,2,Not Allowed,Yes,16.500897559653527,Foggy,0.0439728849401332
21,qp08gz,-5.45196533203125,90.8734130859375,48,0:0,0,0,0,0,Night,Residential,3,Allowed,Yes,17.745036556781237,Foggy,0.0329734774128934
22,qp03p0,-5.44647216796875,90.6646728515625,48,0:0,0,0,0,0,Night,Residential,1,Not Allowed,No,5.375956134252942,Snowy,0.0094805280613094
23,qp03p2,-5.44647216796875,90.6756591796875,48,0:0,0,0,0,0,Night,Residential,2,Not Allowed,Yes,26.037601246494845,Sunny,0.0490435101474348
24,qp0900,-5.44647216796875,90.7086181640625,48,0:0,0,0,0,0,Night,Residential,3,Allowed,Yes,12.13038258301014,Rainy,0.0057459436413194
25,qp090b,-5.44647216796875,90.7415771484375,48,0:0,0,0,0,0,Night,Residential,1,Not Allowed,No,29.27851234778877,Sunny,0.1081009353894617
26,qp094b,-5.44647216796875,90.8294677734375,48,0:0,0,0,0,0,Night,Residential,3,Allowed,Yes,13.919406119242153,Rainy,0.0128762581568748
27,qp0950,-5.44647216796875,90.8404541015625,48,0:0,0,0,0,0,Night,Residential,2,Not Allowed,Yes,13.87855299119968,Rainy,0.0466793974170952
28,qp0952,-5.44647216796875,90.8514404296875,48,0:0,0,0,0,0,Night,Residential,1,Not Allowed,No,23.845024707393268,Sunny,0.0051142529898034
29,qp0958,-5.44647216796875,90.8624267578125,48,0:0,0,0,0,0,Night,Residential,1,Not Allowed,No,19.78228985184643,Sunny,0.0181345060438591
30,qp095b,-5.44647216796875,90.8734130859375,48,0:0,0,0,0,0,Night,Residential,2,Not Allowed,Yes,11.524956944937433,Rainy,0.0155656372402501
31,qp090c,-5.44097900390625,90.7415771484375,48,0:0,0,0,0,0,Night,Residential,1,Not Allowed,No,16.05328173833321,Sunny,0.1038037660951269
32,qp0949,-5.44097900390625,90.8184814453125,48,0:0,0,0,0,0,Night,Residential,2,Not Allowed,Yes,20.40724561816188,Sunny,0.0052784302674281
33,qp094c,-5.44097900390625,90.8294677734375,48,0:0,0,0,0,0,Night,Residential,2,Not Allowed,Yes,14.388959254855962,Foggy,0.0079516958584448
34,qp0951,-5.44097900390625,90.8404541015625,48,0:0,0,0,0,0,Night,Residential,1,Not Allowed,No,14.64553944209739,Foggy,0.0204638018861602
35,qp0959,-5.44097900390625,90.8624267578125,48,0:0,0,0,0,0,Night,Residential,1,Not Allowed,No,10.138902302145713,Rainy,0.0075813562323335
36,qp095c,-5.44097900390625,90.8734130859375,48,0:0,0,0,0,0,Night,Residential,2,Not Allowed,Yes,6.618796508944126,Snowy,0.0114616587846068
37,qp03p6,-5.43548583984375,90.6756591796875,48,0:0,0,0,0,0,Night,Residential,1,Not Allowed,No,6.290247289533616,Snowy,0.0369505530202992
38,qp03pf,-5.43548583984375,90.6976318359375,48,0:0,0,0,0,0,Night,Residential,3,Allowed,Yes,3.8058478822176,Snowy,0.0010644082621131
39,qp0944,-5.43548583984375,90.7965087890625,48,0:0,0,0,0,0,Night,Residential,3,Allowed,Yes,23.189392783980697,Sunny,0.0075865943255815
40,qp03p7,-5.42999267578125,90.6756591796875,48,0:0,0,0,0,0,Night,Residential,3,Allowed,Yes,19.18762610115424,Sunny,0.0443056089219072
41,qp03pe,-5.42999267578125,90.6866455078125,48,0:0,0,0,0,0,Night,Residential,1,Not Allowed,No,24.07865571376893,Sunny,0.0602099948825779
